pubid,ctuition17,state17,female,black,hisp,yr97,yr98,yr99,yr00,yr01,mhighgrad,msomcol,fhighgrad,fsomcol,parincome,afqt,dayssmklm17,pct_insclnxtyr
7275,2.29935503,33,1,1,0,0,0,0,0,1,0,1,1,0,30.9101944,37.49200058,1,
5566,2.29935503,33,0,0,0,0,0,0,0,1,0,1,1,0,95.59601593,66.84300232,0,
7285,2.29935503,33,0,1,0,0,0,0,0,1,0,1,0,1,34.10452271,38.9980011,0,
5610,1.99031949,33,1,1,0,0,0,0,1,0,0,1,1,0,41.3388176,76.42500305,0,99
7302,2.29935503,33,1,1,0,0,0,0,0,1,1,0,1,0,0,5.225999832,0,
5554,2.29935503,33,0,1,0,0,0,0,0,1,1,0,1,0,2.015267134,41.94499969,0,
7309,1.576038361,33,0,1,0,0,1,0,0,0,0,1,0,1,109.1603088,50.70100021,2,
7269,1.99031949,33,1,1,0,0,0,0,1,0,0,1,0,1,9.519554138,10.34300041,0,85
7330,1.975081563,33,1,1,0,0,0,1,0,0,1,0,1,0,19.63593674,46.00400162,5,
3900,1.975081563,33,1,0,0,0,0,1,0,0,1,0,1,0,90.42865753,70.45500183,30,
3885,1.99031949,33,1,1,0,0,0,0,1,0,0,1,1,0,24.15737152,19.18300056,0,70
7314,2.29935503,33,0,1,0,0,0,0,0,1,1,0,1,0,33.85132217,20.1970005,0,
5589,1.99031949,33,1,1,0,0,0,0,1,0,0,1,0,1,82.68159485,69.17299652,0,100
7293,1.576038361,33,1,1,0,0,1,0,0,0,0,1,0,1,85.26130676,38.93199921,0,
7322,1.99031949,33,0,1,0,0,0,0,1,0,0,1,0,1,0,47.37200165,0,100
5563,1.576038361,33,1,0,0,0,1,0,0,0,0,0,1,0,0,42.00299835,0,
7306,1.975081563,33,1,1,0,0,0,1,0,0,0,1,0,1,46.50616837,49.0890007,0,
5577,2.29935503,33,0,1,0,0,0,0,0,1,1,0,1,0,0,29.87899971,12,
7270,1.99031949,33,1,1,0,0,0,0,1,0,1,0,0,1,47.90135574,54.71099854,0,0
7294,2.29935503,33,1,1,0,0,0,0,0,1,0,1,0,1,85.26130676,41.31200027,0,
3884,2.29935503,33,0,1,0,0,0,0,0,1,0,1,1,0,44.52085876,69.09899902,0,
3903,1.576038361,33,0,0,0,0,1,0,0,0,1,0,1,0,48.94903183,80.47799683,0,
7292,1.576038361,33,0,1,0,0,1,0,0,0,1,0,0,1,106.5766373,18.99699974,0,
7323,1.99031949,33,0,1,0,0,0,0,1,0,0,1,0,1,1.178156257,42.19800186,0,100
7296,1.975081563,33,1,1,0,0,0,1,0,0,0,0,1,0,107.2225571,70.41999817,0,
5615,1.576038361,33,1,0,0,0,1,0,0,0,0,1,1,0,68.68932343,54.83399963,15,
7329,2.29935503,33,1,1,0,0,0,0,0,1,1,0,1,0,35.65472794,39.57799911,0,
5580,1.975081563,33,1,0,0,0,0,1,0,0,0,0,0,0,11.51802826,58.43199921,0,
7268,1.975081563,33,1,1,0,0,0,1,0,0,0,1,0,1,9.519554138,1.646000028,0,
3878,1.975081563,33,0,1,0,0,0,1,0,0,0,1,0,1,129.1838074,85.27700043,0,
5594,2.29935503,33,1,0,0,0,0,0,0,1,0,0,0,0,14.21021843,60.77199936,0,
8797,1.653552651,33,1,1,0,1,0,0,0,0,1,0,1,0,59.4245491,54.87400055,0,100
7305,2.29935503,33,1,1,0,0,0,0,0,1,0,1,1,0,16.66470909,17.73800087,0,
8790,2.29935503,33,1,0,0,0,0,0,0,1,0,1,0,1,59.16617966,74.53900146,0,
7331,1.99031949,33,0,1,0,0,0,0,1,0,1,0,0,0,31.00411224,6.21600008,0,75
5578,2.29935503,33,1,1,0,0,0,0,0,1,0,1,1,0,87.84498596,59.79000092,0,
5581,1.576038361,33,0,0,0,0,1,0,0,0,0,1,1,0,76.32147217,87.02400208,0,
3894,1.576038361,33,1,0,0,0,1,0,0,0,0,1,0,1,83.96946716,100,0,
5560,1.576038361,33,1,1,0,0,1,0,0,0,0,1,1,0,36.88871002,21.74500084,0,
3911,1.975081563,33,1,0,0,0,0,1,0,0,1,0,0,0,65.36700439,78.20600128,0,
7337,2.29935503,33,0,1,0,0,0,0,0,1,0,1,1,0,33.07263947,24.4470005,0,
3906,2.29935503,33,1,0,0,0,0,0,0,1,1,0,0,1,39.01350784,84.56800079,0,
7328,1.576038361,33,1,1,0,0,1,0,0,0,1,0,1,0,35.65472794,38.29299927,0,
5583,1.576038361,33,1,0,0,0,1,0,0,0,1,0,1,0,10.98062325,71.41300201,4,
7324,1.576038361,33,1,1,0,0,1,0,0,0,0,1,0,1,150.3053436,85.21800232,0,
5606,1.99031949,33,1,0,0,0,0,0,1,0,0,0,0,0,20.92777634,50.88299942,0,100
7303,1.576038361,33,1,1,0,0,1,0,0,0,1,0,1,0,24.54492188,38.09600067,0,
3887,1.653552651,33,1,1,0,1,0,0,0,0,1,0,1,0,28.42043686,57.90299988,0,100
3908,2.29935503,33,0,0,0,0,0,0,0,1,1,0,0,0,59.13517761,36.40800095,10,
7290,1.975081563,33,0,1,0,0,0,1,0,0,0,1,0,1,58.1327095,30.09799957,0,
3883,1.576038361,33,1,0,0,0,1,0,0,0,1,0,0,1,59.4245491,20.66200066,0,
3890,2.29935503,33,1,0,1,0,0,0,0,1,1,0,0,0,16.0187912,32.07899857,30,
7334,1.576038361,33,0,1,0,0,1,0,0,0,0,0,1,0,40.046978,21.86400032,0,
